,YIELD_SPREAD,CPI,HY_SPREAD,VIX,SKEW,VIX3M,VIX_BKWD,T5YIE,ICSA,T5YIE_ZONE,ICSA_ZONE,REGIME,REGIME_SCORE,IG_SPREAD,IG_SCORE,STLFSI,FSI_SCORE,SAHM,SAHM_SCORE,LAGGING_TOTAL,RISK_SCORE,SIGNAL,ACTION,LEADING_SCORE,COINCIDENT_SCORE,LAGGING_SCORE,S_YIELD,S_CPI,S_REGIME,S_VIX,S_SKEW,S_BKWD,S_HY,S_IG,S_FSI,S_SAHM
2022-01-17,0.79,5.957820738137087,4.62,19.190000534057617,133.85000610351562,22.81999969482422,-3.6299991607666016,2.79,24.6,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.659,0,-0.2,0,1,3.18,🟡 흐림,위험자산 10~20% 축소,2.29,0.58,0.31,0,2,2,0,1,0,0,1,0,0
2022-01-18,0.81,5.957820738137087,4.62,22.790000915527344,129.72000122070312,25.1200008392334,-2.3299999237060547,2.8,24.6,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.659,0,-0.2,0,1,3.18,🟡 흐림,위험자산 10~20% 축소,2.29,0.58,0.31,0,2,2,1,0,0,0,1,0,0
2022-01-19,0.79,5.957820738137087,4.62,23.850000381469727,134.72999572753906,25.809999465942383,-1.9599990844726562,2.73,24.6,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.659,0,-0.2,0,1,3.76,🟡 흐림,위험자산 10~20% 축소,2.29,1.17,0.31,0,2,2,1,1,0,0,1,0,0
2022-01-20,0.75,5.957820738137087,4.62,25.59000015258789,127.58000183105469,27.25,-1.6599998474121094,2.74,24.6,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.659,0,-0.2,0,1,3.18,🟡 흐림,위험자산 10~20% 축소,2.29,0.58,0.31,0,2,2,1,0,0,0,1,0,0
2022-01-21,0.74,5.957820738137087,4.62,28.850000381469727,136.17999267578125,29.950000762939453,-1.1000003814697266,2.7,24.6,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.3817,0,-0.2,0,1,3.76,🟡 흐림,위험자산 10~20% 축소,2.29,1.17,0.31,0,2,2,1,1,0,0,1,0,0
2022-01-24,0.76,5.957820738137087,4.62,29.899999618530273,136.05999755859375,30.81999969482422,-0.9200000762939453,2.74,24.0,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.3817,0,-0.2,0,1,3.76,🟡 흐림,위험자산 10~20% 축소,2.29,1.17,0.31,0,2,2,1,1,0,0,1,0,0
2022-01-25,0.76,5.957820738137087,4.62,31.15999984741211,133.89999389648438,31.760000228881836,-0.6000003814697266,2.78,24.0,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.3817,0,-0.2,0,1,4.35,🟡 흐림,위험자산 10~20% 축소,2.29,1.75,0.31,0,2,2,2,1,0,0,1,0,0
2022-01-26,0.72,5.957820738137087,4.62,31.959999084472656,133.3800048828125,31.950000762939453,0.009998321533203125,2.75,24.0,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.3817,0,-0.2,0,1,4.93,🟡 흐림,위험자산 10~20% 축소,2.29,2.33,0.31,0,2,2,2,1,1,0,1,0,0
2022-01-27,0.63,5.957820738137087,4.62,30.489999771118164,132.22000122070312,30.8700008392334,-0.3800010681152344,2.76,24.0,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.3817,0,-0.2,0,1,4.35,🟡 흐림,위험자산 10~20% 축소,2.29,1.75,0.31,0,2,2,2,1,0,0,1,0,0
2022-01-28,0.63,5.957820738137087,4.62,27.65999984741211,132.9600067138672,28.81999969482422,-1.1599998474121094,2.8,24.0,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.2,0,-0.2,0,1,3.76,🟡 흐림,위험자산 10~20% 축소,2.29,1.17,0.31,0,2,2,1,1,0,0,1,0,0
2022-01-31,0.61,5.957820738137087,4.62,24.829999923706055,131.44000244140625,26.850000381469727,-2.020000457763672,2.82,23.1,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.2,0,-0.2,0,1,3.76,🟡 흐림,위험자산 10~20% 축소,2.29,1.17,0.31,0,2,2,1,1,0,0,1,0,0
2022-02-01,0.63,5.957820738137087,4.62,21.959999084472656,133.0,24.760000228881836,-2.8000011444091797,2.8,23.1,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.2,0,-0.13,0,1,3.76,🟡 흐림,위험자산 10~20% 축소,2.29,1.17,0.31,0,2,2,1,1,0,0,1,0,0
2022-02-02,0.62,5.957820738137087,4.62,22.09000015258789,133.0,25.139999389648438,-3.049999237060547,2.79,23.1,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.2,0,-0.13,0,1,3.76,🟡 흐림,위험자산 10~20% 축소,2.29,1.17,0.31,0,2,2,1,1,0,0,1,0,0
2022-02-03,0.63,5.957820738137087,4.62,24.350000381469727,132.75,26.670000076293945,-2.3199996948242188,2.76,23.1,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.2,0,-0.13,0,1,3.76,🟡 흐림,위험자산 10~20% 축소,2.29,1.17,0.31,0,2,2,1,1,0,0,1,0,0
2022-02-04,0.62,5.957820738137087,4.62,23.219999313354492,132.75,26.25,-3.030000686645508,2.78,23.1,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.5115,0,-0.13,0,1,3.76,🟡 흐림,위험자산 10~20% 축소,2.29,1.17,0.31,0,2,2,1,1,0,0,1,0,0
2022-02-07,0.62,5.957820738137087,4.62,22.860000610351562,132.75,25.690000534057617,-2.8299999237060547,2.75,21.0,HIGH,LOW,과열,1,1.45,1,-0.5115,0,-0.13,0,1,3.19,🟡 흐림,위험자산 10~20% 축소,1.71,1.17,0.31,0,2,1,1,1,0,0,1,0,0
2022-02-08,0.61,5.957820738137087,4.62,21.440000534057617,127.72000122070312,24.540000915527344,-3.1000003814697266,2.77,21.0,HIGH,LOW,과열,1,1.45,1,-0.5115,0,-0.13,0,1,2.61,🟢 맑음,기본 비중 유지,1.71,0.58,0.31,0,2,1,1,0,0,0,1,0,0
2022-02-09,0.58,5.957820738137087,4.62,19.959999084472656,129.77999877929688,23.489999771118164,-3.530000686645508,2.78,21.0,HIGH,LOW,과열,1,1.45,1,-0.5115,0,-0.13,0,1,2.03,🟢 맑음,기본 비중 유지,1.71,0.0,0.31,0,2,1,0,0,0,0,1,0,0
2022-02-10,0.42,5.957820738137087,4.62,23.90999984741211,128.11000061035156,26.06999969482422,-2.1599998474121094,2.81,21.0,HIGH,LOW,과열,1,1.45,1,-0.5115,0,-0.13,0,1,2.61,🟢 맑음,기본 비중 유지,1.71,0.58,0.31,0,2,1,1,0,0,0,1,0,0
2022-02-11,0.42,5.957820738137087,4.62,27.360000610351562,126.80999755859375,28.829999923706055,-1.4699993133544922,2.82,21.0,HIGH,LOW,과열,1,1.45,1,-0.5838,0,-0.13,0,1,2.61,🟢 맑음,기본 비중 유지,1.71,0.58,0.31,0,2,1,1,0,0,0,1,0,0
2022-02-14,0.4,5.957820738137087,4.62,28.329999923706055,128.1199951171875,29.440000534057617,-1.1100006103515625,2.91,23.4,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.5838,0,-0.13,0,1,3.18,🟡 흐림,위험자산 10~20% 축소,2.29,0.58,0.31,0,2,2,1,0,0,0,1,0,0
2022-02-15,0.47,5.957820738137087,4.62,25.700000762939453,129.75999450683594,27.280000686645508,-1.5799999237060547,2.89,23.4,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.5838,0,-0.13,0,1,3.18,🟡 흐림,위험자산 10~20% 축소,2.29,0.58,0.31,0,2,2,1,0,0,0,1,0,0
2022-02-16,0.51,5.957820738137087,4.62,24.290000915527344,132.75,26.260000228881836,-1.9699993133544922,2.87,23.4,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.5838,0,-0.13,0,1,3.76,🟡 흐림,위험자산 10~20% 축소,2.29,1.17,0.31,0,2,2,1,1,0,0,1,0,0
2022-02-17,0.48,5.957820738137087,4.62,28.110000610351562,131.30999755859375,29.31999969482422,-1.2099990844726562,2.87,23.4,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.5838,0,-0.13,0,1,3.76,🟡 흐림,위험자산 10~20% 축소,2.29,1.17,0.31,0,2,2,1,1,0,0,1,0,0
2022-02-18,0.45,5.957820738137087,4.62,27.75,128.36000061035156,29.219999313354492,-1.4699993133544922,2.86,23.4,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.1634,0,-0.13,0,1,3.18,🟡 흐림,위험자산 10~20% 축소,2.29,0.58,0.31,0,2,2,1,0,0,0,1,0,0
2022-02-21,0.45,5.957820738137087,4.62,27.75,128.36000061035156,29.219999313354492,-1.4699993133544922,2.86,22.4,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.1634,0,-0.13,0,1,3.18,🟡 흐림,위험자산 10~20% 축소,2.29,0.58,0.31,0,2,2,1,0,0,0,1,0,0
2022-02-22,0.38,5.957820738137087,4.62,28.809999465942383,128.3300018310547,29.110000610351562,-0.3000011444091797,2.89,22.4,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.1634,0,-0.13,0,1,3.18,🟡 흐림,위험자산 10~20% 축소,2.29,0.58,0.31,0,2,2,1,0,0,0,1,0,0
2022-02-23,0.41,5.957820738137087,4.62,31.020000457763672,126.87999725341797,30.8799991607666,0.1400012969970703,3.01,22.4,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.1634,0,-0.13,0,1,4.35,🟡 흐림,위험자산 10~20% 축소,2.29,1.75,0.31,0,2,2,2,0,1,0,1,0,0
2022-02-24,0.42,5.957820738137087,4.62,30.31999969482422,130.47999572753906,30.049999237060547,0.2700004577636719,3.05,22.4,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.1634,0,-0.13,0,1,4.93,🟡 흐림,위험자산 10~20% 축소,2.29,2.33,0.31,0,2,2,2,1,1,0,1,0,0
2022-02-25,0.42,5.957820738137087,4.62,27.59000015258789,132.50999450683594,28.040000915527344,-0.4500007629394531,3.02,22.4,HIGH,NEUTRAL,둔화_주의,2,1.45,1,-0.0045,0,-0.13,0,1,3.76,🟡 흐림,위험자산 10~20% 축소,2.29,1.17,0.31,0,2,2,1,1,0,0,1,0,0
2022-02-28,0.39,5.957820738137087,4.62,30.149999618530273,137.36000061035156,29.649999618530273,0.5,3.11,20.8,HIGH,LOW,과열,1,1.45,1,-0.0045,0,-0.13,0,1,4.36,🟡 흐림,위험자산 10~20% 축소,1.71,2.33,0.31,0,2,1,2,1,1,0,1,0,0
2022-03-01,0.41,5.957820738137087,4.62,33.31999969482422,134.4199981689453,32.59000015258789,0.7299995422363281,3.14,20.8,HIGH,LOW,과열,1,1.45,1,-0.0045,0,-0.1,0,1,4.36,🟡 흐림,위험자산 10~20% 축소,1.71,2.33,0.31,0,2,1,2,1,1,0,1,0,0
2022-03-02,0.36,5.957820738137087,4.62,30.739999771118164,136.11000061035156,30.969999313354492,-0.22999954223632812,3.23,20.8,HIGH,LOW,과열,1,1.45,1,-0.0045,0,-0.1,0,1,3.78,🟡 흐림,위험자산 10~20% 축소,1.71,1.75,0.31,0,2,1,2,1,0,0,1,0,0
2022-03-03,0.33,5.957820738137087,4.62,30.479999542236328,133.27999877929688,30.799999237060547,-0.31999969482421875,3.17,20.8,HIGH,LOW,과열,1,1.45,1,-0.0045,0,-0.1,0,1,3.78,🟡 흐림,위험자산 10~20% 축소,1.71,1.75,0.31,0,2,1,2,1,0,0,1,0,0
2022-03-04,0.24,5.957820738137087,4.62,31.979999542236328,133.27999877929688,32.34000015258789,-0.3600006103515625,3.19,20.8,HIGH,LOW,과열,1,1.45,1,0.2958,1,-0.1,0,2,4.09,🟡 흐림,위험자산 10~20% 축소,1.71,1.75,0.62,0,2,1,2,1,0,0,1,1,0
2022-03-07,0.23,5.957820738137087,4.62,36.45000076293945,136.69000244140625,35.7400016784668,0.7099990844726562,3.29,22.2,HIGH,NEUTRAL,둔화_주의,2,1.45,1,0.2958,1,-0.1,0,2,5.24,🟡 흐림,위험자산 10~20% 축소,2.29,2.33,0.62,0,2,2,2,1,1,0,1,1,0
2022-03-08,0.23,5.957820738137087,4.62,35.130001068115234,135.25,35.0,0.13000106811523438,3.43,22.2,HIGH,NEUTRAL,둔화_주의,2,1.45,1,0.2958,1,-0.1,0,2,5.24,🟡 흐림,위험자산 10~20% 축소,2.29,2.33,0.62,0,2,2,2,1,1,0,1,1,0
2022-03-09,0.26,5.957820738137087,4.62,32.45000076293945,134.1199951171875,33.060001373291016,-0.6100006103515625,3.33,22.2,HIGH,NEUTRAL,둔화_주의,2,1.45,1,0.2958,1,-0.1,0,2,4.66,🟡 흐림,위험자산 10~20% 축소,2.29,1.75,0.62,0,2,2,2,1,0,0,1,1,0
2022-03-10,0.26,5.957820738137087,4.62,30.229999542236328,130.94000244140625,31.520000457763672,-1.2900009155273438,3.42,22.2,HIGH,NEUTRAL,둔화_주의,2,1.45,1,0.2958,1,-0.1,0,2,4.66,🟡 흐림,위험자산 10~20% 축소,2.29,1.75,0.62,0,2,2,2,1,0,0,1,1,0
2022-03-11,0.25,5.957820738137087,4.62,30.75,130.6999969482422,32.34000015258789,-1.5900001525878906,3.52,22.2,HIGH,NEUTRAL,둔화_주의,2,1.45,1,0.1519,1,-0.1,0,2,4.66,🟡 흐림,위험자산 10~20% 축소,2.29,1.75,0.62,0,2,2,2,1,0,0,1,1,0
2022-03-14,0.27,5.957820738137087,4.62,31.770000457763672,131.80999755859375,33.31999969482422,-1.5499992370605469,3.5,21.7,HIGH,LOW,과열,1,1.45,1,0.1519,1,-0.1,0,2,4.09,🟡 흐림,위험자산 10~20% 축소,1.71,1.75,0.62,0,2,1,2,1,0,0,1,1,0
2022-03-15,0.3,5.957820738137087,4.62,29.829999923706055,130.66000366210938,31.959999084472656,-2.1299991607666016,3.42,21.7,HIGH,LOW,과열,1,1.45,1,0.1519,1,-0.1,0,2,3.51,🟡 흐림,위험자산 10~20% 축소,1.71,1.17,0.62,0,2,1,1,1,0,0,1,1,0
2022-03-16,0.24,5.957820738137087,4.62,26.670000076293945,132.0,28.959999084472656,-2.289999008178711,3.34,21.7,HIGH,LOW,과열,1,1.45,1,0.1519,1,-0.1,0,2,3.51,🟡 흐림,위험자산 10~20% 축소,1.71,1.17,0.62,0,2,1,1,1,0,0,1,1,0
2022-03-17,0.26,5.957820738137087,4.62,25.670000076293945,134.92999267578125,28.219999313354492,-2.549999237060547,3.51,21.7,HIGH,LOW,과열,1,1.45,1,0.1519,1,-0.1,0,2,3.51,🟡 흐림,위험자산 10~20% 축소,1.71,1.17,0.62,0,2,1,1,1,0,0,1,1,0
2022-03-18,0.17,5.957820738137087,4.62,23.8700008392334,136.63999938964844,26.549999237060547,-2.6799983978271484,3.48,21.7,HIGH,LOW,과열,1,1.45,1,-0.3062,0,-0.1,0,1,3.19,🟡 흐림,위험자산 10~20% 축소,1.71,1.17,0.31,0,2,1,1,1,0,0,1,0,0
2022-03-21,0.18,5.957820738137087,4.62,23.530000686645508,135.72999572753906,26.3799991607666,-2.8499984741210938,3.52,20.7,HIGH,LOW,과열,1,1.45,1,-0.3062,0,-0.1,0,1,3.19,🟡 흐림,위험자산 10~20% 축소,1.71,1.17,0.31,0,2,1,1,1,0,0,1,0,0
2022-03-22,0.2,5.957820738137087,4.62,22.940000534057617,139.72000122070312,25.850000381469727,-2.9099998474121094,3.52,20.7,HIGH,LOW,과열,1,1.45,1,-0.3062,0,-0.1,0,1,3.19,🟡 흐림,위험자산 10~20% 축소,1.71,1.17,0.31,0,2,1,1,1,0,0,1,0,0
2022-03-23,0.19,5.957820738137087,4.62,23.56999969482422,136.7100067138672,26.40999984741211,-2.8400001525878906,3.57,20.7,HIGH,LOW,과열,1,1.45,1,-0.3062,0,-0.1,0,1,3.19,🟡 흐림,위험자산 10~20% 축소,1.71,1.17,0.31,0,2,1,1,1,0,0,1,0,0
2022-03-24,0.21,5.957820738137087,4.62,21.670000076293945,138.38999938964844,25.299999237060547,-3.6299991607666016,3.57,20.7,HIGH,LOW,과열,1,1.45,1,-0.3062,0,-0.1,0,1,3.19,🟡 흐림,위험자산 10~20% 축소,1.71,1.17,0.31,0,2,1,1,1,0,0,1,0,0
2022-03-25,0.18,5.957820738137087,4.62,20.809999465942383,140.25999450683594,24.719999313354492,-3.9099998474121094,3.59,20.7,HIGH,LOW,과열,1,1.45,1,-0.6093,0,-0.1,0,1,3.78,🟡 흐림,위험자산 10~20% 축소,1.71,1.75,0.31,0,2,1,1,2,0,0,1,0,0
2022-03-28,0.11,5.957820738137087,4.62,19.6299991607666,138.8699951171875,24.18000030517578,-4.55000114440918,3.56,21.4,HIGH,LOW,과열,1,1.45,1,-0.6093,0,-0.1,0,1,2.61,🟢 맑음,기본 비중 유지,1.71,0.58,0.31,0,2,1,0,1,0,0,1,0,0
2022-03-29,0.06,5.957820738137087,4.62,18.899999618530273,140.0,23.190000534057617,-4.290000915527344,3.4,21.4,HIGH,LOW,과열,1,1.45,1,-0.6093,0,-0.1,0,1,2.61,🟢 맑음,기본 비중 유지,1.71,0.58,0.31,0,2,1,0,1,0,0,1,0,0
2022-03-30,0.04,5.957820738137087,4.62,19.329999923706055,139.27999877929688,23.56999969482422,-4.239999771118164,3.41,21.4,HIGH,LOW,과열,1,1.45,1,-0.6093,0,-0.1,0,1,2.61,🟢 맑음,기본 비중 유지,1.71,0.58,0.31,0,2,1,0,1,0,0,1,0,0
2022-03-31,0.04,5.957820738137087,4.62,20.559999465942383,140.72999572753906,24.459999084472656,-3.8999996185302734,3.34,21.4,HIGH,LOW,과열,1,1.45,1,-0.6093,0,-0.1,0,1,3.78,🟡 흐림,위험자산 10~20% 축소,1.71,1.75,0.31,0,2,1,1,2,0,0,1,0,0
2022-04-01,-0.05,5.957820738137087,4.62,19.6299991607666,145.50999450683594,24.209999084472656,-4.579999923706055,3.28,21.4,HIGH,LOW,과열,1,1.45,1,-0.4745,0,-0.13,0,1,3.76,🟡 흐림,위험자산 10~20% 축소,2.29,1.17,0.31,1,2,1,0,2,0,0,1,0,0
2022-04-04,-0.01,5.957820738137087,4.62,18.56999969482422,146.47999572753906,23.030000686645508,-4.460000991821289,3.28,21.4,HIGH,LOW,과열,1,1.45,1,-0.4745,0,-0.13,0,1,3.76,🟡 흐림,위험자산 10~20% 축소,2.29,1.17,0.31,1,2,1,0,2,0,0,1,0,0
2022-04-05,0.03,5.957820738137087,4.62,21.030000686645508,141.3300018310547,24.899999618530273,-3.8699989318847656,3.31,21.4,HIGH,LOW,과열,1,1.45,1,-0.4745,0,-0.13,0,1,3.78,🟡 흐림,위험자산 10~20% 축소,1.71,1.75,0.31,0,2,1,1,2,0,0,1,0,0
2022-04-06,0.11,5.957820738137087,4.62,22.100000381469727,144.27000427246094,25.799999237060547,-3.6999988555908203,3.28,21.4,HIGH,LOW,과열,1,1.45,1,-0.4745,0,-0.13,0,1,3.78,🟡 흐림,위험자산 10~20% 축소,1.71,1.75,0.31,0,2,1,1,2,0,0,1,0,0
2022-04-07,0.19,5.957820738137087,4.62,21.549999237060547,139.5500030517578,25.229999542236328,-3.6800003051757812,3.26,21.4,HIGH,LOW,과열,1,1.45,1,-0.4745,0,-0.13,0,1,3.19,🟡 흐림,위험자산 10~20% 축소,1.71,1.17,0.31,0,2,1,1,1,0,0,1,0,0
2022-04-08,0.19,5.957820738137087,4.62,21.15999984741211,141.50999450683594,25.170000076293945,-4.010000228881836,3.33,21.4,HIGH,LOW,과열,1,1.45,1,-0.3683,0,-0.13,0,1,3.78,🟡 흐림,위험자산 10~20% 축소,1.71,1.75,0.31,0,2,1,1,2,0,0,1,0,0
2022-04-11,0.29,5.957820738137087,4.62,24.3700008392334,137.91000366210938,27.0,-2.6299991607666016,3.37,21.4,HIGH,LOW,과열,1,1.45,1,-0.3683,0,-0.13,0,1,3.19,🟡 흐림,위험자산 10~20% 축소,1.71,1.17,0.31,0,2,1,1,1,0,0,1,0,0
2022-04-12,0.33,5.957820738137087,4.62,24.260000228881836,137.6199951171875,27.170000076293945,-2.9099998474121094,3.31,21.4,HIGH,LOW,과열,1,1.45,1,-0.3683,0,-0.13,0,1,3.19,🟡 흐림,위험자산 10~20% 축소,1.71,1.17,0.31,0,2,1,1,1,0,0,1,0,0
2022-04-13,0.33,5.957820738137087,4.62,21.81999969482422,139.86000061035156,25.540000915527344,-3.720001220703125,3.25,21.4,HIGH,LOW,과열,1,1.45,1,-0.3683,0,-0.13,0,1,3.19,🟡 흐림,위험자산 10~20% 축소,1.71,1.17,0.31,0,2,1,1,1,0,0,1,0,0
2022-04-14,0.36,5.957820738137087,4.62,22.700000762939453,134.38999938964844,26.030000686645508,-3.3299999237060547,3.33,21.4,HIGH,LOW,과열,1,1.45,1,-0.3683,0,-0.13,0,1,3.19,🟡 흐림,위험자산 10~20% 축소,1.71,1.17,0.31,0,2,1,1,1,0,0,1,0,0
2022-04-15,0.36,5.957820738137087,4.62,22.700000762939453,134.38999938964844,26.030000686645508,-3.3299999237060547,3.33,21.4,HIGH,LOW,과열,1,1.45,1,-0.2785,0,-0.13,0,1,3.19,🟡 흐림,위험자산 10~20% 축소,1.71,1.17,0.31,0,2,1,1,1,0,0,1,0,0
2022-04-18,0.39,5.957820738137087,4.62,22.170000076293945,130.94000244140625,25.75,-3.5799999237060547,3.36,21.0,HIGH,LOW,과열,1,1.45,1,-0.2785,0,-0.13,0,1,3.19,🟡 흐림,위험자산 10~20% 축소,1.71,1.17,0.31,0,2,1,1,1,0,0,1,0,0
2022-04-19,0.32,5.957820738137087,4.62,21.3700008392334,130.94000244140625,25.059999465942383,-3.6899986267089844,3.36,21.0,HIGH,LOW,과열,1,1.45,1,-0.2785,0,-0.13,0,1,3.19,🟡 흐림,위험자산 10~20% 축소,1.71,1.17,0.31,0,2,1,1,1,0,0,1,0,0
2022-04-20,0.25,5.957820738137087,4.62,20.31999969482422,134.17999267578125,24.149999618530273,-3.8299999237060547,3.36,21.0,HIGH,LOW,과열,1,1.45,1,-0.2785,0,-0.13,0,1,3.19,🟡 흐림,위험자산 10~20% 축소,1.71,1.17,0.31,0,2,1,1,1,0,0,1,0,0
2022-04-21,0.22,5.957820738137087,4.62,22.68000030517578,132.72000122070312,26.110000610351562,-3.4300003051757812,3.37,21.0,HIGH,LOW,과열,1,1.45,1,-0.2785,0,-0.13,0,1,3.19,🟡 흐림,위험자산 10~20% 축소,1.71,1.17,0.31,0,2,1,1,1,0,0,1,0,0
2022-04-22,0.18,5.957820738137087,4.62,28.209999084472656,136.22000122070312,29.8700008392334,-1.6600017547607422,3.37,21.0,HIGH,LOW,과열,1,1.45,1,-0.3842,0,-0.13,0,1,3.19,🟡 흐림,위험자산 10~20% 축소,1.71,1.17,0.31,0,2,1,1,1,0,0,1,0,0
2022-04-25,0.18,5.957820738137087,4.62,27.020000457763672,133.4199981689453,29.06999969482422,-2.049999237060547,3.27,20.9,HIGH,LOW,과열,1,1.45,1,-0.3842,0,-0.13,0,1,3.19,🟡 흐림,위험자산 10~20% 축소,1.71,1.17,0.31,0,2,1,1,1,0,0,1,0,0
2022-04-26,0.23,5.957820738137087,4.62,33.52000045776367,133.4199981689453,33.13999938964844,0.3800010681152344,3.25,20.9,HIGH,LOW,과열,1,1.45,1,-0.3842,0,-0.13,0,1,4.36,🟡 흐림,위험자산 10~20% 축소,1.71,2.33,0.31,0,2,1,2,1,1,0,1,0,0
2022-04-27,0.24,5.957820738137087,4.62,31.600000381469727,138.08999633789062,32.20000076293945,-0.6000003814697266,3.28,20.9,HIGH,LOW,과열,1,1.45,1,-0.3842,0,-0.13,0,1,3.78,🟡 흐림,위험자산 10~20% 축소,1.71,1.75,0.31,0,2,1,2,1,0,0,1,0,0
